Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,31934,,34095,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,180,Dem.Rep. of the Congo,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,5847,,3207,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,404,Kenya,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,122325,,491255,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,172157,,572479,,,0
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,8406,,2556,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,1306374,,995510,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,108,Burundi,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,69000,,59379,,,0
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,131,,258,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,404,Kenya,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,1118894,,823719,,,0
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,646,Rwanda,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,7715,,1483,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,646,Rwanda,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,62040,,51333,,,0
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,460,,249,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,40240,,40620,,,0
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,100,,565,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,834,United Rep. of Tanzania,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,16200,,20458,,,0
